ward,registered,early_votes,election_day,total_votes,turnout_rate,ed_share,ev_share,ev_early_window,ev_late_window,ev_front_load
1,36469,1998,9560,11558,31.69%,82.71%,17.29%,697,1301,34.88%
49,28500,2547,8795,11342,39.80%,77.54%,22.46%,915,1632,35.92%
32,37242,2081,9154,11235,30.17%,81.48%,18.52%,752,1329,36.14%
26,29521,1423,5285,6708,22.72%,78.79%,21.21%,517,906,36.33%
35,32447,1670,7811,9481,29.22%,82.39%,17.61%,621,1049,37.19%
44,33939,2190,10617,12807,37.74%,82.90%,17.10%,833,1357,38.04%
47,39035,3596,13802,17398,44.57%,79.33%,20.67%,1368,2228,38.04%
36,29869,1244,5034,6278,21.02%,80.18%,19.82%,483,761,38.83%
33,27644,1994,7277,9271,33.54%,78.49%,21.51%,780,1214,39.12%
40,33498,3033,9246,12279,36.66%,75.30%,24.70%,1197,1836,39.47%
31,27001,1023,3508,4531,16.78%,77.42%,22.58%,407,616,39.78%
50,29061,2743,5863,8606,29.61%,68.13%,31.87%,1094,1649,39.88%
46,36194,2729,11813,14542,40.18%,81.23%,18.77%,1112,1617,40.75%
25,28716,1149,4466,5615,19.55%,79.54%,20.46%,474,675,41.25%
48,33236,3235,12386,15621,47.00%,79.29%,20.71%,1345,1890,41.58%
45,37518,2389,7283,9672,25.78%,75.30%,24.70%,1001,1388,41.90%
30,32447,1481,5593,7074,21.80%,79.06%,20.94%,628,853,42.40%
12,21785,934,2577,3511,16.12%,73.40%,26.60%,405,529,43.36%
39,35438,2587,7111,9698,27.37%,73.32%,26.68%,1123,1464,43.41%
14,20873,704,2488,3192,15.29%,77.94%,22.06%,306,398,43.47%
3,32608,2506,7683,10189,31.25%,75.40%,24.60%,1128,1378,45.01%
11,27425,1516,4174,5690,20.75%,73.36%,26.64%,690,826,45.51%
34,26670,1467,5289,6756,25.33%,78.29%,21.71%,674,793,45.94%
28,27170,1335,4300,5635,20.74%,76.31%,23.69%,614,721,45.99%
4,31614,3021,8010,11031,34.89%,72.61%,27.39%,1394,1627,46.14%
5,26272,2287,7431,9718,36.99%,76.47%,23.53%,1070,1217,46.79%
15,20537,743,2319,3062,14.91%,75.73%,24.27%,353,390,47.51%
20,24102,1625,4035,5660,23.48%,71.29%,28.71%,775,850,47.69%
38,36769,2139,5202,7341,19.97%,70.86%,29.14%,1026,1113,47.97%
19,39725,4271,9875,14146,35.61%,69.81%,30.19%,2061,2210,48.26%
22,19828,791,2448,3239,16.34%,75.58%,24.42%,383,408,48.42%
43,33948,2338,8528,10866,32.01%,78.48%,21.52%,1135,1203,48.55%
23,27379,1291,3587,4878,17.82%,73.53%,26.47%,628,663,48.64%
29,32786,2411,5683,8094,24.69%,70.21%,29.79%,1177,1234,48.82%
6,30670,2705,6470,9175,29.92%,70.52%,29.48%,1321,1384,48.84%
41,37224,2636,5329,7965,21.40%,66.91%,33.09%,1299,1337,49.28%
16,24053,1319,3137,4456,18.53%,70.40%,29.60%,651,668,49.36%
17,31452,1982,4864,6846,21.77%,71.05%,28.95%,980,1002,49.45%
2,32363,1809,7278,9087,28.08%,80.09%,19.91%,897,912,49.59%
7,30960,2359,6039,8398,27.13%,71.91%,28.09%,1182,1177,50.11%
27,38254,1714,6170,7884,20.61%,78.26%,21.74%,862,852,50.29%
13,31624,2062,4547,6609,20.90%,68.80%,31.20%,1044,1018,50.63%
8,34918,2820,8417,11237,32.18%,74.90%,25.10%,1431,1389,50.74%
18,36360,2833,6534,9367,25.76%,69.76%,30.24%,1453,1380,51.29%
21,41725,3108,8499,11607,27.82%,73.22%,26.78%,1595,1513,51.32%
37,28549,1780,4010,5790,20.28%,69.26%,30.74%,925,855,51.97%
9,35889,2550,6874,9424,26.26%,72.94%,27.06%,1354,1196,53.10%
10,28930,1443,3149,4592,15.87%,68.58%,31.42%,775,668,53.71%
42,30872,1426,6476,7902,25.60%,81.95%,18.05%,781,645,54.77%
24,24192,1741,3583,5324,22.01%,67.30%,32.70%,1054,687,60.54%
