ward,model_leader,actual_leader,correct,mae_pp
Ward 1,Brandon Johnson,Brandon Johnson,True,5.855759982364628
Ward 2,Paul Vallas,Paul Vallas,True,7.710903476972854
Ward 3,Lori Lightfoot,Lori Lightfoot,True,2.3015547011538477
Ward 4,Lori Lightfoot,Lori Lightfoot,True,2.09255459788782
Ward 5,Lori Lightfoot,Lori Lightfoot,True,2.221899261324148
Ward 6,Lori Lightfoot,Lori Lightfoot,True,2.798693342866067
Ward 7,Lori Lightfoot,Lori Lightfoot,True,2.586071393035356
Ward 8,Lori Lightfoot,Lori Lightfoot,True,1.7235360386168033
Ward 9,Lori Lightfoot,Lori Lightfoot,True,1.9645104873383474
Ward 10,Chuy García,Paul Vallas,False,5.1653563516430285
Ward 11,Paul Vallas,Paul Vallas,True,2.962688609168331
Ward 12,Chuy García,Chuy García,True,7.658699959394012
Ward 13,Paul Vallas,Paul Vallas,True,1.7150985896431323
Ward 14,Chuy García,Chuy García,True,7.363921230313399
Ward 15,Chuy García,Chuy García,True,4.574646270626096
Ward 16,Lori Lightfoot,Lori Lightfoot,True,3.5723915569244737
Ward 17,Lori Lightfoot,Lori Lightfoot,True,2.098495636485409
Ward 18,Lori Lightfoot,Lori Lightfoot,True,3.2685240021434794
Ward 19,Paul Vallas,Paul Vallas,True,2.947571879551852
Ward 20,Lori Lightfoot,Lori Lightfoot,True,3.8535680098625553
Ward 21,Lori Lightfoot,Lori Lightfoot,True,2.117150909959892
Ward 22,Chuy García,Chuy García,True,7.098881416861633
Ward 23,Paul Vallas,Paul Vallas,True,3.3755844177789434
Ward 24,Lori Lightfoot,Lori Lightfoot,True,3.248434560667781
Ward 25,Chuy García,Chuy García,True,4.450618455104593
Ward 26,Chuy García,Brandon Johnson,False,5.909106694504046
Ward 27,Paul Vallas,Paul Vallas,True,2.008481628521728
Ward 28,Lori Lightfoot,Lori Lightfoot,True,2.1740424937935146
Ward 29,Lori Lightfoot,Lori Lightfoot,True,1.6275866075665923
Ward 30,Chuy García,Paul Vallas,False,3.3112861885960942
Ward 31,Chuy García,Chuy García,True,6.871079621960281
Ward 32,Paul Vallas,Paul Vallas,True,5.267162631265489
Ward 33,Chuy García,Brandon Johnson,False,6.301160515922165
Ward 34,Paul Vallas,Paul Vallas,True,5.420096429527528
Ward 35,Brandon Johnson,Brandon Johnson,True,6.034472107865346
Ward 36,Chuy García,Paul Vallas,False,5.172369141545698
Ward 37,Lori Lightfoot,Lori Lightfoot,True,4.080395126122153
Ward 38,Paul Vallas,Paul Vallas,True,3.9766408383587937
Ward 39,Paul Vallas,Paul Vallas,True,2.5512093274115983
Ward 40,Brandon Johnson,Brandon Johnson,True,3.935804385577734
Ward 41,Paul Vallas,Paul Vallas,True,3.9606225969695923
Ward 42,Paul Vallas,Paul Vallas,True,7.124789536868116
Ward 43,Paul Vallas,Paul Vallas,True,8.798365705565008
Ward 44,Paul Vallas,Paul Vallas,True,6.590266336661584
Ward 45,Paul Vallas,Paul Vallas,True,3.8286231347276916
Ward 46,Paul Vallas,Brandon Johnson,False,2.5790043345452056
Ward 47,Paul Vallas,Brandon Johnson,False,2.6185361299454866
Ward 48,Brandon Johnson,Brandon Johnson,True,2.0437126462355155
Ward 49,Brandon Johnson,Brandon Johnson,True,4.871689977463248
Ward 50,Paul Vallas,Paul Vallas,True,2.3422974860769292
